,year,sid,robbery_gun_r,jhcitizen_c,jhpolice_c,homicide,robbery,assault,burglary,larceny,motor,murder,unemployrt,poverty,l_income,l_prisoner,l_exp_subsidy,l_exp_pubwelfare,post,popwt
0,2000,1,0.21080323,1,0,7.5939784,131.61357,325.6178,930.92017,2940.6238,295.65735,6.5322065,4.1,14.705981469769503,10.711102,6.4057665,5.3578176,6.926083,0,4499293.0
1,2001,1,0.21436246,2,0,8.713443,128.3796,281.63504,934.3846,2758.69,290.11856,7.4949403,4.7,15.750203294509083,10.675931,6.421284,5.402183,6.974412,0,4499293.0
2,2002,1,0.4240188,3,2,6.9332876,136.42331,274.6314,974.2757,2835.829,317.8329,6.4069986,5.4,15.556558810183741,10.727071,6.4616323,5.5518985,7.0387506,0,4499293.0
3,2003,1,0.2454455,2,1,6.8180065,137.6827,258.537,986.10266,2828.4238,341.05994,6.567177,5.5,15.447801660310034,10.695688,6.4559712,5.6018972,7.1104236,0,4499293.0
4,2004,1,0.2610063,3,0,5.7536893,136.86531,255.65407,1011.7885,2800.9592,317.67612,5.595123,5.1,16.252654002359012,10.652069,6.374003,5.5795846,7.0855193,0,4499293.0
5,2005,1,0.18737397,0,1,8.418573,145.1191,254.2004,978.55786,2718.7039,295.77554,6.932943,3.9,16.87298173709831,10.633232,6.4421363,4.368332,7.0059175,0,4499293.0
6,2006,1,0.21527778,3,3,8.001687,153.42366,227.87415,968.9217,2645.123,322.93765,6.784039,3.6,16.167670139138036,10.622327,6.4200997,4.420956,6.9676113,0,4499293.0
7,2007,1,0.21332072,3,4,8.54794,161.40779,248.34819,989.11884,2711.616,310.4952,7.653896,3.5,16.3587736322205,10.700725,6.4635863,4.54151,6.9971676,1,4499293.0
8,2008,1,0.31781045,3,1,7.718328,158.77704,254.89941,1089.1923,2734.0825,290.8318,7.264309,4.9,15.606913546509087,10.715284,6.491606,4.515596,6.9110613,1,4499293.0
9,2009,1,0.29672787,0,0,6.9496,135.21504,282.79694,1054.181,2548.302,239.37273,6.86327,9.9,17.378813647115702,10.612508,6.530851,4.642847,7.0866895,1,4499293.0
10,2010,1,0.21403067,0,0,5.7427597,100.15121,245.55031,884.21674,2428.7456,222.97894,4.606829,10.0,16.97416726,10.620742,6.504557,4.736799,7.1459756,1,4499293.0
11,2000,2,0.3653061,0,2,4.443837,80.647415,418.04987,641.723,2771.3086,386.77844,3.9500775,6.2,8.631248734740767,11.111104,6.532072,5.8740125,7.5531344,0,651473.25
12,2001,2,0.36770427,1,1,6.335993,83.505135,435.5589,624.98883,2712.2922,425.32382,5.523686,6.2,8.830911846844431,11.165422,6.6101723,5.7135344,7.6233864,0,651473.25
